bam_sample	comparison_sample   mismatch    visual_contamination
HSB100	100_S2  	
HSB102	515_S7  *	
HSB105	105_S5  	
HSB107	107_S6  	
HSB115	511 *	
HSB116	115_S10 *	
HSB121	115_S10 *   mix 121/115	
HSB122	122_S15 	
HSB127	127 	
HSB132	132_S18 	
HSB139	139_S20 	
HSB148	148_S2  	
HSB150	150 	
HSB152	152_S5  	
HSB154	154_S7  	
HSB171	171_S10 	
HSB172	172_S11 	
HSB174	174 	
HSB194	194_S16 	
HSB195	195_S17 	
HSB221	221_S18 	
HSB222	222_S19 	
HSB223	223_S2  	
HSB238	238 	
HSB248	248_S1  	
HSB260	HSB260  	
HSB261	261_S2  	
HSB265	265_S3  	
HSB267	267_S1  	
HSB268	432_S19 *	268/432 mix
HSB270	270_S2  	
HSB271	432_S19 *	
HSB272	272 	
HSB274	274 	
HSB275	275_S5  	
HSB278	278_S6  	
HSB279	279_S7  	279/536 mix
HSB286	286_S5  	
HSB289	289_S9  	
HSB292	292_S10 	
HSB313	313_S12 	similar to 321 - related?
HSB316	316_S11 	
HSB321	321_S13 	similar to 313 - related?
HSB322	322_S14 	
HSB332	332_S15 	
HSB337	337_S16 	
HSB338	338_S17 	
HSB339	339_S18 	
HSB340	340_S6  	
HSB341	412_S4  *	
HSB342	342 	
HSB343	343_S21 	
HSB344	344_S4  	
HSB345	345_S5  	
HSB388	388_S6  	
HSB389	389_S1  	
HSB394	394_S2  	
HSB395	395_S1  	
HSB396	396_S19 	
HSB398	398_S20 	
HSB411	411_S3  	
HSB412	341_S19 *	
HSB413	413_S5  	
HSB414	414_S6  	
HSB415	415_S7  	
HSB416	416_S8  	
HSB417	417_S9  	
HSB418	418_S10 	
HSB420	HSB420  	420/504 mix
HSB421	421_S11 	
HSB422	422_S12 	
HSB425	425_S13 	415/425 mix (minor)
HSB427	427_S14 	
HSB428	428_S15 	
HSB429	429_S16 	
HSB430	430_S17 	
HSB431	431_S18 	
HSB432	432_S19 	
HSB433	433_S20 	
HSB439	439_S21 	
HSB440	440_S7  	
HSB442	442_S8  	
HSB443	443_S1  	421/443 mix (v. minor)
HSB444	444_S1  	
HSB445	445 	
HSB452	452_S3  	
HSB453	453_S4  	
HSB454	454_S5  	
HSB455	455 	
HSB456	456_S7  	
HSB457	457_S8  	
HSB459	469_S18 *	469/470 mix (minor)
HSB460	460_S10 	
HSB461	461 	
HSB462	462_S21 	462/546 mix (v. minor)
HSB463	463_S12 	
HSB464	464_S13 	
HSB465	465_S14 	
HSB466	466_S15 	
HSB467	467 	
HSB468	468_S17 	
HSB469	469_S18 	469/470 mix (minor)
HSB471	471 	
HSB472	472 	
HSB473	589 *	
HSB474	474_S1  	
HSB475	475 	
HSB476	HSB476DFC   	
HSB479	479 	
HSB480	480_S2  	
HSB481	481 	
HSB482	482_S7  	
HSB483	498_S1  *	
HSB484	514 	
HSB485	485 	
HSB486	486_S3  	
HSB487	487_S3  	
HSB489	489_S8  	
HSB490	490_S4  	
HSB492	492 	
HSB493	508_S24 *	505/508 mix
HSB495	495 	
HSB496	496_S11 	
HSB497	497 	
HSB500	500 	500/501 mix
HSB502	502_S6  	
HSB508	116_S11 *	
HSB509	509_S6  	
HSB515	484 *	
HSB536	536 	
HSB543	543 	
HSB544	544 	
HSB545	545 	
HSB547	547_S1  	
HSB563	563 	
HSB564	564 	
HSB572	572 	
HSB573	623 *	
HSB587	589 *	
HSB593	573 *	
HSB597	597 	
HSB615	615 	
HSB618	618 	
